server,run,method,variant,seed,n_epochs,final_epoch,final_student_acc,final_student_loss,best_student_acc,best_student_epoch,last10_student_mean,last10_student_std,final_teacher_acc,last_lr,min_lr,max_lr,delta_vs_cosine_seed3,delta_vs_patchtst_best,delta_vs_cosine_mean
stars,adalrs_default_seed1_60ep,adalrs,default,1,61,60,68.22,1.152,68.91,58,66.791,2.7672638110595824,75.47,0.001,0.001,1.4,-2.230000000000004,-2.480000000000004,-1.9770000000000039
stars,adalrs_aggressive_seed3_60ep,adalrs,aggressive,3,61,60,67.83,1.122,69.35,58,66.588,3.8396088342434034,75.48,0.001,0.001,1.5,-2.6200000000000045,-2.8700000000000045,-2.3670000000000044
stars,adalrs_default_seed2_60ep,adalrs,default,2,61,60,67.43,1.157,69.19,57,66.301,3.9709279771861885,75.83,0.001,0.001,1.4,-3.019999999999996,-3.269999999999996,-2.766999999999996
stars,adalrs_aggressive_seed2_60ep,adalrs,aggressive,2,61,60,66.71,1.177,69.2,58,65.401,5.450248526443543,75.71,0.001,0.001,1.5,-3.740000000000009,-3.990000000000009,-3.487000000000009
stars,adalrs_default_seed3_60ep,adalrs,default,3,61,60,66.58,1.181,69.18,58,65.977,4.1560896284849305,74.81,0.001,0.001,1.4,-3.8700000000000045,-4.1200000000000045,-3.6170000000000044
industry,bandit_ucb_seed1_60ep,bandit_ucb,ucb,1,61,60,66.58,1.165,67.66,52,53.96900000000001,12.830784426526694,75.73,0.05,0.001,1.5,-3.8700000000000045,-4.1200000000000045,-3.6170000000000044
industry,bandit_exp3_safe_seed3_60ep,bandit_exp3,safe,3,61,60,64.61,1.245,65.57,24,53.677,9.642868919569528,75.11,0.5,0.001,1.5,-5.840000000000003,-6.090000000000003,-5.587000000000003
stars,adalrs_aggressive_seed1_60ep,adalrs,aggressive,1,61,60,63.43,1.288,68.44,58,64.57399999999998,5.159752319637057,75.13,0.001,0.001,1.5,-7.020000000000003,-7.270000000000003,-6.767000000000003
industry,bandit_exp3_safe_seed2_60ep,bandit_exp3,safe,2,61,60,63.32,1.278,66.89,16,44.388999999999996,10.079240497180331,75.09,0.01,0.001,1.5,-7.130000000000003,-7.380000000000003,-6.8770000000000024
industry,bandit_exp3_fast_seed2_60ep,bandit_exp3,fast,2,61,60,57.86,1.493,66.23,27,46.981,9.321958431574343,75.44,0.4,0.001,1.5,-12.590000000000003,-12.840000000000003,-12.337000000000003
stars,adalrs_narrow_safe_seed1_60ep,adalrs,narrow_safe,1,61,60,57.73,1.491,67.15,55,58.061,11.560099869810815,74.36,0.001,0.001,1.5,-12.720000000000006,-12.970000000000006,-12.467000000000006
stars,adalrs_narrow_safe_seed2_60ep,adalrs,narrow_safe,2,61,60,57.42,1.505,63.52,45,49.837,8.964826880648616,75.2,0.001,0.001,1.2,-13.030000000000001,-13.280000000000001,-12.777000000000001
industry,bandit_exp3_fast_seed3_60ep,bandit_exp3,fast,3,61,60,53.36,1.636,66.05,36,38.328,13.530333920491392,75.14,0.8,0.001,1.5,-17.090000000000003,-17.340000000000003,-16.837000000000003
stars,adalrs_narrow_safe_seed3_60ep,adalrs,narrow_safe,3,61,60,49.05,1.855,63.02,45,42.92700000000001,7.102212401780167,75.04,0.001,0.001,1.5,-21.400000000000006,-21.650000000000006,-21.147000000000006
mlspace,hypergrad_hb_fast_seed3_60ep,hypergrad_hb,fast,3,61,60,47.77,1.991,52.24,18,41.856,4.948260704530431,75.59,0.746222,0.147974,0.776064,-22.68,-22.93,-22.427
mlspace,hypergrad_hb_fast_seed2_60ep,hypergrad_hb,fast,2,61,60,47.04,2.081,53.28,27,43.728,2.243696949233563,75.85,0.735176,0.093677,0.754822,-23.410000000000004,-23.660000000000004,-23.157000000000004
industry,bandit_exp3_fast_seed1_60ep,bandit_exp3,fast,1,61,60,45.06,2.156,64.0,45,48.785999999999994,9.973871063935006,74.79,0.6,0.001,1.5,-25.39,-25.64,-25.137
mlspace,hypergrad_hb_safe_seed3_60ep,hypergrad_hb,safe,3,61,60,44.26,2.243,52.34,45,43.961,3.5430366918788745,75.56,0.746066,0.299604,0.763691,-26.190000000000005,-26.440000000000005,-25.937000000000005
mlspace,hypergrad_hb_smooth_seed2_60ep,hypergrad_hb,smooth,2,61,60,39.01,2.526,52.65,32,41.936,6.204998307816046,75.88,0.724706,0.191387,0.754488,-31.440000000000005,-31.690000000000005,-31.187000000000005
mlspace,hypergrad_hb_smooth_seed3_60ep,hypergrad_hb,smooth,3,61,60,38.47,2.626,52.67,38,39.48299999999999,5.071885349650562,76.02,0.796953,0.260873,0.816914,-31.980000000000004,-32.230000000000004,-31.727000000000004
mlspace,hypergrad_hb_safe_seed1_60ep,hypergrad_hb,safe,1,61,60,38.06,2.663,51.55,38,41.374,4.20984370256189,75.67,0.741055,0.293604,0.755555,-32.39,-32.64,-32.137
mlspace,hypergrad_hb_safe_seed2_60ep,hypergrad_hb,safe,2,61,60,36.92,2.904,53.61,32,42.422,7.148735272759791,76.11,0.715626,0.282179,0.728905,-33.53,-33.78,-33.277
industry,bandit_ucb_seed3_60ep,bandit_ucb,ucb,3,61,60,35.38,2.445,63.42,18,38.941,15.784367234704089,73.53,0.001,0.001,1.5,-35.07,-35.32,-34.817
mlspace,hypergrad_hb_fast_seed1_60ep,hypergrad_hb,fast,1,61,60,33.2,3.01,53.06,19,38.465,7.166082960725476,76.02,0.766388,0.091173,0.766388,-37.25,-37.5,-36.997
industry,bandit_exp3_safe_seed1_60ep,bandit_exp3,safe,1,61,60,32.91,2.869,66.54,56,47.044999999999995,13.546329576678698,75.51,0.3,0.001,1.5,-37.540000000000006,-37.790000000000006,-37.287000000000006
mlspace,hypergrad_hb_smooth_seed1_60ep,hypergrad_hb,smooth,1,61,60,24.79,3.597,55.49,33,39.078,9.637692462410284,75.49,0.767442,0.289508,0.769399,-45.660000000000004,-45.910000000000004,-45.407000000000004
industry,bandit_ucb_seed2_60ep,bandit_ucb,ucb,2,61,60,20.69,3.968,64.83,22,28.879,5.894126652863849,75.37,0.1,0.001,1.5,-49.760000000000005,-50.010000000000005,-49.507000000000005
